id,top_match,category,university,category_score,created_at
08e3fb91-1fd1-4e44-9837-47b03450b4da,ust,"Academic Experience",admu,29,2026-05-07T22:09:31.749Z
08e3fb91-1fd1-4e44-9837-47b03450b4da,ust,"Academic Experience",dlsu,38,2026-05-07T22:09:31.749Z
08e3fb91-1fd1-4e44-9837-47b03450b4da,ust,"Academic Experience",up,32,2026-05-07T22:09:31.749Z
08e3fb91-1fd1-4e44-9837-47b03450b4da,ust,"Academic Experience",ust,83,2026-05-07T22:09:31.749Z
08e3fb91-1fd1-4e44-9837-47b03450b4da,ust,"Social & Cultural Fit",admu,37,2026-05-07T22:09:31.749Z
08e3fb91-1fd1-4e44-9837-47b03450b4da,ust,"Social & Cultural Fit",dlsu,45,2026-05-07T22:09:31.749Z
08e3fb91-1fd1-4e44-9837-47b03450b4da,ust,"Social & Cultural Fit",up,99,2026-05-07T22:09:31.749Z
08e3fb91-1fd1-4e44-9837-47b03450b4da,ust,"Social & Cultural Fit",ust,110,2026-05-07T22:09:31.749Z
08e3fb91-1fd1-4e44-9837-47b03450b4da,ust,"Campus Life",admu,60,2026-05-07T22:09:31.749Z
08e3fb91-1fd1-4e44-9837-47b03450b4da,ust,"Campus Life",dlsu,60,2026-05-07T22:09:31.749Z
08e3fb91-1fd1-4e44-9837-47b03450b4da,ust,"Campus Life",up,99,2026-05-07T22:09:31.749Z
08e3fb91-1fd1-4e44-9837-47b03450b4da,ust,"Campus Life",ust,149,2026-05-07T22:09:31.749Z
08e3fb91-1fd1-4e44-9837-47b03450b4da,ust,"Values & Identity",admu,34,2026-05-07T22:09:31.749Z
08e3fb91-1fd1-4e44-9837-47b03450b4da,ust,"Values & Identity",dlsu,46,2026-05-07T22:09:31.749Z
08e3fb91-1fd1-4e44-9837-47b03450b4da,ust,"Values & Identity",up,77,2026-05-07T22:09:31.749Z
08e3fb91-1fd1-4e44-9837-47b03450b4da,ust,"Values & Identity",ust,113,2026-05-07T22:09:31.749Z
df561435-6605-489c-bfb0-66dc1e55815c,dlsu,"Academic Experience",admu,61,2026-05-07T22:18:57.350Z
df561435-6605-489c-bfb0-66dc1e55815c,dlsu,"Academic Experience",dlsu,61,2026-05-07T22:18:57.350Z
df561435-6605-489c-bfb0-66dc1e55815c,dlsu,"Academic Experience",up,49,2026-05-07T22:18:57.350Z
df561435-6605-489c-bfb0-66dc1e55815c,dlsu,"Academic Experience",ust,27,2026-05-07T22:18:57.350Z
df561435-6605-489c-bfb0-66dc1e55815c,dlsu,"Social & Cultural Fit",admu,89,2026-05-07T22:18:57.350Z
df561435-6605-489c-bfb0-66dc1e55815c,dlsu,"Social & Cultural Fit",dlsu,90,2026-05-07T22:18:57.350Z
df561435-6605-489c-bfb0-66dc1e55815c,dlsu,"Social & Cultural Fit",up,73,2026-05-07T22:18:57.350Z
df561435-6605-489c-bfb0-66dc1e55815c,dlsu,"Social & Cultural Fit",ust,76,2026-05-07T22:18:57.350Z
df561435-6605-489c-bfb0-66dc1e55815c,dlsu,"Campus Life",admu,78,2026-05-07T22:18:57.350Z
df561435-6605-489c-bfb0-66dc1e55815c,dlsu,"Campus Life",dlsu,125,2026-05-07T22:18:57.350Z
